weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,message,rain.1h
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1627806389.0,36000.0,2155415.0,New Norfolk,200,147.0587,-42.7826,42.13,42.13,40.91,44.71,1006.0,72.0,1.99,315.0,5.99,15.0,2.0,2031307.0,AU,1627766601.0,1627801964.0,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627806389.0,7200.0,3369157.0,Cape Town,200,18.4232,-33.9258,58.48,57.97,56.12,61.11,1026.0,84.0,1.01,45.0,4.0,20.0,2.0,2033665.0,ZA,1627796321.0,1627833986.0,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627806389.0,7200.0,361661.0,Akhmīm,200,31.745,26.5622,99.27,94.59,99.27,99.27,1006.0,13.0,3.04,281.0,3.33,47.0,,,EG,1627787877.0,1627836036.0,1006.0,997.0,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627806390.0,7200.0,964432.0,Port Alfred,200,26.891,-33.5906,71.98,70.29,71.98,71.98,1021.0,30.0,13.31,265.0,25.88,100.0,,,ZA,1627794253.0,1627831991.0,1021.0,1018.0,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1627806390.0,-25200.0,5955902.0,Fort Nelson,200,-122.7002,58.8053,62.19,61.72,62.19,62.19,1018.0,77.0,2.3,320.0,,20.0,1.0,986.0,CA,1627819213.0,1627878831.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627806390.0,7200.0,1006984.0,East London,200,27.9116,-33.0153,79.74,79.74,79.74,79.74,1020.0,13.0,9.22,330.0,,0.0,1.0,1912.0,ZA,1627793944.0,1627831809.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627806390.0,3600.0,2527087.0,Tiznit Province,200,-9.5,29.5833,80.11,79.77,80.11,80.11,1013.0,37.0,2.91,327.0,3.09,0.0,,,MA,1627797465.0,1627846245.0,1013.0,950.0,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627806390.0,28800.0,2035836.0,Manzhouli,200,117.4333,49.6,68.47,67.51,68.47,68.47,1006.0,53.0,6.76,7.0,11.36,97.0,,,CN,1627764038.0,1627818747.0,1006.0,933.0,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627806181.0,43200.0,4031574.0,Provideniya,200,-173.3,64.3833,44.28,41.7,44.28,44.28,1007.0,81.0,4.7,115.0,4.81,100.0,,,RU,1627828777.0,1627893555.0,1007.0,1007.0,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627806390.0,43200.0,2208248.0,Kaitangata,200,169.8464,-46.2817,48.0,48.0,48.0,48.0,1009.0,96.0,1.07,75.0,1.21,100.0,,,NZ,1627761684.0,1627795943.0,1009.0,1009.0,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627806390.0,0.0,3372472.0,Vila Franca do Campo,200,-25.4333,37.7167,72.01,72.95,72.01,72.01,1029.0,86.0,5.35,335.0,10.11,84.0,1.0,6899.0,PT,1627800323.0,1627851035.0,1029.0,1026.0,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627806390.0,32400.0,2112444.0,Kamaishi,200,141.8833,39.2667,79.75,79.75,79.75,79.75,1003.0,93.0,3.74,197.0,5.12,90.0,1.0,8047.0,JP,1627759931.0,1627811118.0,1003.0,1002.0,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627806390.0,10800.0,489043.0,Staraya Toropa,200,31.6702,56.2801,68.38,68.86,68.38,68.38,1007.0,84.0,10.13,203.0,18.86,100.0,,,RU,1627782953.0,1627840997.0,1007.0,985.0,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627806391.0,21600.0,1519422.0,Semey,200,80.2275,50.4111,89.82,85.98,89.82,89.82,1009.0,18.0,8.95,340.0,,0.0,1.0,8833.0,KZ,1627772802.0,1627827841.0,,,,
